id,author,date,start,end
cb101937-55cf-5b20-8648-f50b1de2676d,0x5e23d08324f017d5425e59a2782c9ae27ace0958,2022-10-15 16:03:06,2022-10-15 16:03:00,2022-10-29 16:03:00
063b803b-8790-5b1d-94bc-675ac8a40d0c,0x5e23d08324f017d5425e59a2782c9ae27ace0958,2022-01-21 18:14:58,2022-01-21 18:14:00,2022-01-28 18:14:00
735de945-e1b8-52b1-84e5-0da20c14ac12,0xbb7b59afa3a0e5be143b8fe9c641f00c1ecb9d69,2022-11-30 09:20:26,2022-11-30 09:20:00,2022-12-07 09:20:00
fef77166-a7cb-5eba-8076-bbc9fb7bb579,0xbb7b59afa3a0e5be143b8fe9c641f00c1ecb9d69,2022-11-20 11:04:32,2022-11-20 11:04:00,2022-12-04 11:04:00
cd97c6f8-578b-52d0-88ed-f3cf0cb22063,0x5e23d08324f017d5425e59a2782c9ae27ace0958,2021-08-30 14:58:25,2021-08-30 14:58:00,2021-09-06 14:58:00
4e75cfb0-2386-5d8a-b5bc-c6ebbea3d1ae,0x5e23d08324f017d5425e59a2782c9ae27ace0958,2021-12-08 23:15:15,2021-12-08 23:15:00,2021-12-15 23:15:00
d788be3c-9195-5dc3-b4c9-ad841273f18e,0xbb7b59afa3a0e5be143b8fe9c641f00c1ecb9d69,2023-04-14 17:06:19,2023-04-14 17:06:00,2023-04-28 17:06:00
afa7f5c6-4786-5d14-b517-59df11a8c111,0x5e23d08324f017d5425e59a2782c9ae27ace0958,2022-08-18 15:51:44,2022-08-18 15:51:00,2022-08-23 15:51:00
f93333af-5cc8-5dcf-9486-7b0ac4a14c11,0xbb7b59afa3a0e5be143b8fe9c641f00c1ecb9d69,2023-02-09 16:17:22,2023-02-09 16:17:00,2023-02-16 16:17:00
a7ce7ed4-078d-595f-a207-2f295ce2784a,0x5e23d08324f017d5425e59a2782c9ae27ace0958,2021-12-18 15:54:31,2021-12-18 15:54:00,2021-12-25 15:54:00
6ba5d9fc-d7dd-5dfe-8980-babeb89d6cde,0x5e23d08324f017d5425e59a2782c9ae27ace0958,2021-11-25 18:32:15,2021-11-25 18:32:00,2021-12-02 18:32:00
29e6ab69-cae5-5791-94d1-f679bb4fb10f,0x5e23d08324f017d5425e59a2782c9ae27ace0958,2021-12-06 23:52:16,2021-12-06 23:52:00,2021-12-13 23:52:00
